0,1,2,3,4,5,6,7,8,9
past (perfect) indicativeالْمَاضِي,m,صَدَّرْتُṣaddartu,صَدَّرْتَṣaddarta,صَدَّرَṣaddara,صَدَّرْتُمَاṣaddartumā,صَدَّرَاṣaddarā,صَدَّرْنَاṣaddarnā,صَدَّرْتُمْṣaddartum,صَدَّرُواṣaddarū
f,صَدَّرْتِṣaddarti,صَدَّرَتْṣaddarat,صَدَّرَتَاṣaddaratā,صَدَّرْتُنَّṣaddartunna,صَدَّرْنَṣaddarna,,,,
non-past (imperfect) indicativeالْمُضَارِع,m,أُصَدِّرُʾuṣaddiru,تُصَدِّرُtuṣaddiru,يُصَدِّرُyuṣaddiru,تُصَدِّرَانِtuṣaddirāni,يُصَدِّرَانِyuṣaddirāni,نُصَدِّرُnuṣaddiru,تُصَدِّرُونَtuṣaddirūna,يُصَدِّرُونَyuṣaddirūna
f,تُصَدِّرِينَtuṣaddirīna,تُصَدِّرُtuṣaddiru,تُصَدِّرَانِtuṣaddirāni,تُصَدِّرْنَtuṣaddirna,يُصَدِّرْنَyuṣaddirna,,,,
subjunctiveالْمُضَارِع الْمَنْصُوب,m,أُصَدِّرَʾuṣaddira,تُصَدِّرَtuṣaddira,يُصَدِّرَyuṣaddira,تُصَدِّرَاtuṣaddirā,يُصَدِّرَاyuṣaddirā,نُصَدِّرَnuṣaddira,تُصَدِّرُوtuṣaddirū,يُصَدِّرُوyuṣaddirū
f,تُصَدِّرِيtuṣaddirī,تُصَدِّرَtuṣaddira,تُصَدِّرَاtuṣaddirā,تُصَدِّرْنَtuṣaddirna,يُصَدِّرْنَyuṣaddirna,,,,
jussiveالْمُضَارِع الْمَجْزُوم,m,أُصَدِّرْʾuṣaddir,تُصَدِّرْtuṣaddir,يُصَدِّرْyuṣaddir,تُصَدِّرَاtuṣaddirā,يُصَدِّرَاyuṣaddirā,نُصَدِّرْnuṣaddir,تُصَدِّرُوtuṣaddirū,يُصَدِّرُوyuṣaddirū
f,تُصَدِّرِيtuṣaddirī,تُصَدِّرْtuṣaddir,تُصَدِّرَاtuṣaddirā,تُصَدِّرْنَtuṣaddirna,يُصَدِّرْنَyuṣaddirna,,,,
imperativeالْأَمْر,m,,صَدِّرْṣaddir,,صَدِّرَاṣaddirā,,,صَدِّرُوṣaddirū,
f,صَدِّرِيṣaddirī,صَدِّرْنَṣaddirna,,,,,,,
passive voiceالْفِعْل الْمَجْهُول,,,,,,,,,
,singularالْمُفْرَد,,dualالْمُثَنَّى,,pluralالْجَمْع,,,,
,1st personالْمُتَكَلِّم,2nd personالْمُخَاطَب,3rd personالْغَائِب,2nd personالْمُخَاطَب,3rd personالْغَائِب,1st personالْمُتَكَلِّم,2nd personالْمُخَاطَب,3rd personالْغَائِب,
past (perfect) indicativeالْمَاضِي,m,صُدِّرْتُṣuddirtu,صُدِّرْتَṣuddirta,صُدِّرَṣuddira,صُدِّرْتُمَاṣuddirtumā,صُدِّرَاṣuddirā,صُدِّرْنَاṣuddirnā,صُدِّرْتُمْṣuddirtum,صُدِّرُواṣuddirū
f,صُدِّرْتِṣuddirti,صُدِّرَتْṣuddirat,صُدِّرَتَاṣuddiratā,صُدِّرْتُنَّṣuddirtunna,صُدِّرْنَṣuddirna,,,,
non-past (imperfect) indicativeالْمُضَارِع,m,أُصَدَّرُʾuṣaddaru,تُصَدَّرُtuṣaddaru,يُصَدَّرُyuṣaddaru,تُصَدَّرَانِtuṣaddarāni,يُصَدَّرَانِyuṣaddarāni,نُصَدَّرُnuṣaddaru,تُصَدَّرُونَtuṣaddarūna,يُصَدَّرُونَyuṣaddarūna
f,تُصَدَّرِينَtuṣaddarīna,تُصَدَّرُtuṣaddaru,تُصَدَّرَانِtuṣaddarāni,تُصَدَّرْنَtuṣaddarna,يُصَدَّرْنَyuṣaddarna,,,,
subjunctiveالْمُضَارِع الْمَنْصُوب,m,أُصَدَّرَʾuṣaddara,تُصَدَّرَtuṣaddara,يُصَدَّرَyuṣaddara,تُصَدَّرَاtuṣaddarā,يُصَدَّرَاyuṣaddarā,نُصَدَّرَnuṣaddara,تُصَدَّرُوtuṣaddarū,يُصَدَّرُوyuṣaddarū
f,تُصَدَّرِيtuṣaddarī,تُصَدَّرَtuṣaddara,تُصَدَّرَاtuṣaddarā,تُصَدَّرْنَtuṣaddarna,يُصَدَّرْنَyuṣaddarna,,,,
jussiveالْمُضَارِع الْمَجْزُوم,m,أُصَدَّرْʾuṣaddar,تُصَدَّرْtuṣaddar,يُصَدَّرْyuṣaddar,تُصَدَّرَاtuṣaddarā,يُصَدَّرَاyuṣaddarā,نُصَدَّرْnuṣaddar,تُصَدَّرُوtuṣaddarū,يُصَدَّرُوyuṣaddarū
f,تُصَدَّرِيtuṣaddarī,تُصَدَّرْtuṣaddar,تُصَدَّرَاtuṣaddarā,تُصَدَّرْنَtuṣaddarna,يُصَدَّرْنَyuṣaddarna,,,,
Singular,basic singular triptote,,,,,,,,
Indefinite,Definite,Construct,,,,,,,
Informal,صَدْرṣadr,الصَّدْرaṣ-ṣadr,صَدْرṣadr,,,,,,
Nominative,صَدْرٌṣadrun,الصَّدْرُaṣ-ṣadru,صَدْرُṣadru,,,,,,
Accusative,صَدْرًاṣadran,الصَّدْرَaṣ-ṣadra,صَدْرَṣadra,,,,,,
Genitive,صَدْرٍṣadrin,الصَّدْرِaṣ-ṣadri,صَدْرِṣadri,,,,,,
Dual,Indefinite,Definite,Construct,,,,,,
Informal,صَدْرَيْنṣadrayn,الصَّدْرَيْنaṣ-ṣadrayn,صَدْرَيْṣadray,,,,,,
Nominative,صَدْرَانِṣadrāni,الصَّدْرَانِaṣ-ṣadrāni,صَدْرَاṣadrā,,,,,,
Accusative,صَدْرَيْنِṣadrayni,الصَّدْرَيْنِaṣ-ṣadrayni,صَدْرَيْṣadray,,,,,,
Genitive,صَدْرَيْنِṣadrayni,الصَّدْرَيْنِaṣ-ṣadrayni,صَدْرَيْṣadray,,,,,,
Plural,basic broken plural triptote,,,,,,,,
Indefinite,Definite,Construct,,,,,,,
Informal,صُدُورṣudūr,الصُّدُورaṣ-ṣudūr,صُدُورṣudūr,,,,,,
Nominative,صُدُورٌṣudūrun,الصُّدُورُaṣ-ṣudūru,صُدُورُṣudūru,,,,,,
Accusative,صُدُورًاṣudūran,الصُّدُورَaṣ-ṣudūra,صُدُورَṣudūra,,,,,,
Genitive,صُدُورٍṣudūrin,الصُّدُورِaṣ-ṣudūri,صُدُورِṣudūri,,,,,,
